id,hotel_name,marks,city,satisfaction,reviews,price,distances,descriptions,stars,breakfast
6735,Demi's home,8.9,VaticanoPrati,Excellent,104,365,2.7,Double Room,3,Not included
6736,Les Fleurs Luxury House,8.9,Spagna,Excellent,441,608,1.1,Deluxe Double Room,4,Not included
6737,The Code Hotel,8,Spagna,Very Good,984,627,1.1,Small Double Room,4,Not included
6738,Rome Central Rooms,9.3,SanGiovanni,Wonderful,368,331,2.8,Double or Twin Room with Private Bathroom,4,Not included
6739,Cressy,7.3,CentralStation,Good,557,158,1.7,Bed in 5-Bed Female Dormitory Room,1,Not included
6740,Relais Roma Vaticano - METRO station Ottaviano,9.1,VaticanoPrati,Wonderful,121,518,2.6,Double Room,0,Breakfast included
6741,Roma sogno infinito,8.9,CentralStation,Excellent,795,403,1.6,Deluxe Double Room,3,Not included
6742,Titina Suites Apartment Rome,0,AppioLatino,Not calified,0,556,5.1,Double Room with Private Bathroom,3,Not included
6743,Domus Terenzio,9.1,VaticanoPrati,Wonderful,522,489,2,Deluxe Triple Room,0,Breakfast included
6744,Oscar 2,6.4,CentralStation,Review score,496,228,1.5,Deluxe Queen Room,3,Not included
6745,Locanda degli Antiquari,8,Navona,Very Good,327,364,1.2,Double Room,3,Not included
6746,NL Trastevere,7.3,Trastevere,Good,474,478,0.9,Standard Double Room,3,Not included
6747,Matilde's Rooms in St. Peter,8,VaticanoPrati,Very Good,68,439,1.8,Double Room with Private Bathroom,3,Breakfast included
6748,Luxury on the River,9.1,VaticanoPrati,Wonderful,455,673,1.5,Classic Double Room with City View,4,Not included
6749,Maison Evelina,9.4,Spagna,Wonderful,300,1612,1.3,Classic Double Room,4,Breakfast included
6750,Residenza Fermi,7.8,Portuense,Good,82,265,3.6,Single Room,3,Breakfast included
6751,Aenea Superior Inn,8.8,RioneMonti,Excellent,1275,608,1.1,Double Room,4,Breakfast included
6752,Queen Palace Suites,9.1,Pantheon,Wonderful,448,1189,0.35,Standard Double Room,4,Not included
6753,Boutique Hotel Trevi,7.4,Trevi,Good,533,471,0.5,Single,4,Breakfast included
6754,San Pietro Leisure and Luxury,8.1,VaticanoPrati,Very Good,249,354,2.9,Double or Twin Room with Balcony,3,Not included
6755,Albergo Abruzzi,8.9,Pantheon,Excellent,650,1100,0.6,Double or Twin Room with Pantheon View,3,Not included
6756,Bed&BikeRome Rooms,8.6,VaticanoPrati,Excellent,206,439,3.3,Twin Room,3,Breakfast included
6757,Domus Ester,7.3,Navona,Good,1265,414,0.8,Small Double Room,3,Not included
6758,The Spanish Suite Campo de' Fiori,8,Navona,Very Good,1336,945,0.7,Deluxe Double Room,3,Not included
6759,Let's go to Rome,8.1,Gianicolense,Very Good,69,481,2.5,Deluxe Double or Twin Room with Balcony,3,Breakfast included
6760,Bon Ton Suite,7.9,CentralStation,Good,307,553,2,Quadruple Room,3,Not included
6761,Deko Rome,8.3,ViaVeneto,Very Good,178,528,1.6,Double or Twin Room,3,Not included
6762,Excellence Suite,8.3,ViaVeneto,Very Good,1045,480,1.1,Deluxe Double or Twin Room,3,Not included
6763,Ibis Roma Fiera,7.6,MaglianaVecchia,Good,3050,277,11,Twin Room,3,Not included
6764,Casa De' Fiori,8.4,Navona,Very Good,333,472,0.8,Superior Double Room,3,Not included
6765,Hotel St. Moritz,7.6,RioneMonti,Good,742,458,0.9,Single Room,3,Not included
6766,Duca di Cavour,8.7,RioneMonti,Excellent,291,498,0.8,Standard Double Room,3,Not included
6767,Bernini Collection,8,Spagna,Very Good,37,777,0.9,King Room with Balcony,3,Not included
6768,Maison Villa Borghese,8.6,Rome,Excellent,142,308,2.2,Double or Twin Room,3,Not included
6769,Little Queen Pantheon,9.1,Pantheon,Wonderful,503,814,0.7,Deluxe Room,4,Not included
6770,Gate 40,8.2,SanGiovanni,Very Good,553,523,3,Triple Room with Private Internal Bathroom,3,Breakfast included
6771,Relais Mantellini,8.3,SanGiovanni,Very Good,173,335,3.7,Double Room,3,Not included
6772,Vatican Style Suite,8.7,VaticanoPrati,Excellent,254,561,2.2,Double or Twin Room,4,Not included
6773,Corso Boutique Luxury Rooms,9,Spagna,Wonderful,352,1171,1.5,Superior Double Room,4,Not included
6774,Anna Guest House,8.5,Aurelio,Very Good,302,418,4.5,Double Room,3,Not included
6775,Hotel RomAntica,8,CentralStation,Very Good,1062,403,1.5,Double or Twin Room,3,Breakfast included
6776,Roman Holidays cuore dell'Impero,8.5,CentralStation,Very Good,195,618,2.3,Double or Twin Room,4,Not included
6777,Quirinale luxury suite Roma,8.3,CentralStation,Very Good,24,558,1.2,Large Double Room,4,Not included
6778,STAR HOTEL ROMA,7.5,CentralStation,Good,24,263,2.1,Double Room,3,Not included
6779,Hotel Tokyo,6.7,CentralStation,Review score,432,236,1.9,Single Room,1,Not included
6780,Domus Santa Caterina,8.4,CentralStation,Very Good,460,345,2.2,Double or Twin Room,3,Not included
6781,Barberini Dream,9.5,Trevi,Exceptional,532,616,1.2,Deluxe Queen Room,4,Not included
